terrace,bedrooms,construction_year,date_month,date_year,date_year_month,floor,rooms,price_room,price_surface,price,surface,zip
yes,2.0,1968.0,3,2016,201603.0,up floor,2.0,169500.0,3745.8563535911603,339000.0,90.5,81379
yes,2.0,1954.0,3,2016,201603.0,up floor,2.0,164500.0,3635.3591160220994,329000.0,90.5,80687
yes,2.0,1966.0,3,2016,201603.0,up floor,2.0,164500.0,3635.3591160220994,329000.0,90.5,81369
yes,1.0,1963.0,3,2016,201603.0,ground floor,2.0,180000.0,3977.9005524861877,360000.0,90.5,80686
yes,2.0,1992.0,3,2016,201603.0,ground floor,2.0,190000.0,4198.8950276243095,380000.0,90.5,81827
yes,2.0,1966.0,3,2016,201603.0,up floor,2.0,184500.0,4077.3480662983425,369000.0,90.5,81827
yes,2.0,1975.0,3,2016,201603.0,up floor,2.0,152750.0,3375.6906077348067,305500.0,90.5,85540
yes,2.0,1971.0,3,2016,201603.0,up floor,2.0,179500.0,3966.8508287292816,359000.0,90.5,82110
yes,2.0,1964.0,3,2016,201603.0,up floor,2.0,194500.0,4298.342541436464,389000.0,90.5,82152
yes,1.0,1975.0,3,2016,201603.0,up floor,2.0,197000.0,4353.591160220994,394000.0,90.5,81245
yes,1.0,1972.0,3,2016,201603.0,up floor,2.0,167500.0,3701.657458563536,335000.0,90.5,81243
yes,2.0,2003.0,3,2016,201603.0,up floor,2.0,192000.0,4243.093922651934,384000.0,90.5,82110
yes,3.0,1963.0,3,2016,201603.0,up floor,2.0,167500.0,3701.657458563536,335000.0,90.5,85521
yes,2.0,1975.0,3,2016,201603.0,ground floor,2.0,139500.0,3082.8729281767955,279000.0,90.5,85221
yes,3.0,1969.0,3,2016,201603.0,up floor,2.0,169500.0,3745.8563535911603,339000.0,90.5,82008
yes,2.0,1975.0,3,2016,201603.0,up floor,2.0,199500.0,4408.839779005525,399000.0,90.5,81243
yes,1.0,1968.0,3,2016,201603.0,up floor,2.0,192500.0,4254.14364640884,385000.0,90.5,81735
yes,2.0,1971.0,3,2016,201603.0,up floor,2.0,175000.0,3867.403314917127,350000.0,90.5,82178
